,Date,Ta (°C),Tm (°C),I3 (W/m2),I15 (W/m2),P (kW)
183,2012-03-13 16:59:00,12.510166666666668,13.112833333333333,0.0,0.0,0.010066666666666666
184,2012-03-13 17:59:00,11.289,9.209333333333332,0.0,0.0,0.0
185,2012-03-13 18:59:00,9.9825,6.290333333333333,0.0,0.0,0.0
186,2012-03-13 19:59:00,9.124166666666666,4.301833333333334,0.0,0.0,0.0
187,2012-03-13 20:59:00,8.268333333333333,3.031,0.0,0.0,0.0
188,2012-03-13 21:49:00,7.933000000000002,2.3816,0.0,0.0,0.0473
194,2012-03-14 03:59:00,5.423,0.007,40.414500000000004,69.73449999999998,30.45046666666667
195,2012-03-14 04:59:00,4.816833333333334,-0.6435000000000001,234.8125,308.0196666666667,211.1936666666666
196,2012-03-14 05:59:00,4.8293333333333335,-0.642,454.81850000000014,538.2708333333335,406.4833166666667
197,2012-03-14 06:59:00,5.338333333333334,-0.18416666666666667,634.1836666666666,741.102,576.3354666666665
198,2012-03-14 07:59:00,9.160833333333334,8.067833333333333,733.2958333333332,812.9924999999995,662.7987500000003
199,2012-03-14 08:59:00,13.517333333333333,19.0395,775.9886666666666,901.3289999999998,660.4251666666664
200,2012-03-14 09:59:00,15.235999999999999,23.247500000000002,758.3940000000001,857.2481666666666,641.8919
201,2012-03-14 10:59:00,16.363166666666668,26.279,490.11100000000016,686.8643333333331,462.4901333333334
202,2012-03-14 11:59:00,16.655166666666666,26.504166666666666,444.64583333333314,463.81866666666673,387.26833333333326
203,2012-03-14 12:59:00,16.88483333333333,27.099666666666664,288.1035000000001,331.5908333333334,252.59291666666664
204,2012-03-14 13:59:00,15.998166666666664,21.59783333333333,210.87983333333335,201.85516666666663,143.24988333333334
205,2012-03-14 14:59:00,15.751,19.82133333333333,38.261833333333335,36.33866666666667,20.2161
206,2012-03-14 15:59:00,14.984666666666667,16.979833333333335,0.0,0.0,1.275300000000001
207,2012-03-14 16:59:00,14.399499999999998,15.172666666666666,0.0,0.0,0.0
208,2012-03-14 17:59:00,13.062499999999998,10.969666666666667,0.0,0.0,0.0
209,2012-03-14 18:59:00,12.255333333333333,9.063666666666666,0.0,0.0,0.0
210,2012-03-14 19:59:00,11.097,7.392,0.0,0.0,0.0
211,2012-03-14 20:59:00,11.097,7.392,0.009666666666666665,0.0,0.036
212,2012-03-14 21:39:00,11.097,7.392,39.822,42.31249999999998,27.5638
218,2012-03-15 03:59:00,7.7,3.0,221.14399999999992,252.92266666666663,179.16941666666662
