Date,Ta (°C),Tm (°C),P (kW),I (W/m2)
2013-05-08,23.161749999999998,28.132749999999998,5525.268999659864,7595.726789496598
2013-05-09,21.909666666666666,22.948083333333333,4507.107812244899,6213.288733523809
2013-05-10,24.02075,30.515833333333333,5508.732040816327,7692.228572952381
2013-05-11,22.540916666666664,23.788249999999998,3149.7764899999997,4299.243893333333
2013-05-12,21.731833333333334,23.57691666666667,4067.526910204081,5498.495843863946
2013-05-13,21.349750000000004,25.15083333333333,5135.639076666667,7014.610498133334
2013-05-14,21.487083333333334,25.252499999999998,5912.330689455782,8117.936903945578
2013-05-15,22.9465,29.207333333333338,5109.200736666667,7023.898713333334
2013-05-16,20.776375,21.22358333333333,1788.5317957247476,2270.055541159108
2013-05-17,26.235666666666667,34.96691666666666,4662.621452201258,6881.839571018867
2013-05-18,25.567166666666665,32.52066666666667,4905.472946540881,7311.321306440252
2013-05-19,26.15166666666667,31.261333333333333,4614.341900628931,6811.60791227673
2013-05-20,23.460416666666667,28.9655,5138.979747484276,7681.217130037735
2013-05-21,26.382916666666667,31.17941666666667,4889.001349056603,7305.043467849056
2013-05-22,24.366333333333333,24.775,3132.9056440251566,4568.402657836478
2013-05-23,21.784916666666668,27.315416666666664,4837.739479874213,6582.0595287547185
2013-05-24,23.00808333333333,32.28966666666667,5603.400058490567,7858.706035396226
2013-05-25,23.706583333333334,30.40733333333333,5070.457042592593,7183.475905185185
2013-05-26,21.638333333333332,30.013583333333337,4724.7833836477985,6791.4790597735855
2013-05-27,21.53216666666667,31.970999999999997,5807.985951851852,8339.172832296297
2013-05-28,20.886333333333333,22.779416666666663,3167.6260814814814,4227.930252444444
2013-05-29,25.838,32.0325,4504.052231481482,6475.892562074075
2013-05-30,23.858916666666666,30.50425,5296.844551851852,7028.34062237037
2013-05-31,20.865085722225643,23.043219584249087,3827.8359843526137,5019.833634760245
2013-06-01,23.701083335,32.036,6328.810511111112,7964.577609037036
2013-06-02,20.499000000000002,20.78933333333333,5443.253924074074,6738.508076740742
2013-06-03,15.77525,16.201083333333333,4251.951065140415,5266.092396669109
2013-06-04,18.90077778,23.2635,3218.1961166666665,3745.5556404025156
2013-06-05,23.2805,31.3035,5034.399972727272,6154.012159151515
2013-06-06,24.35633333,33.87283333333334,5010.625945454545,6193.730342545455
2013-06-07,23.9975,27.526,6352.675533333333,7985.315149939395
2013-06-08,24.63633333,29.066666666666663,6613.3505696969705,8344.447865575758
2013-06-09,27.245,37.1335,6268.716121212121,8071.502451515152
2013-06-10,26.66533333,29.675,4450.681850000001,5502.305060666667
2013-06-11,24.86233333,28.96833333333333,5969.810534848486,7449.953839272727
2013-06-12,23.84883333,24.77066666666667,5157.675947619046,6458.138048666666
2013-06-13,25.134,27.272166666666667,6365.0632749999995,7996.584616285714
2013-06-14,26.37466667,30.35783333333333,6427.619888095237,8193.868530666667
2013-06-15,28.64133333,36.095666666666666,6324.51063030303,8146.628169454546
2013-06-16,29.59866667,36.16816666666667,6315.312001515152,8155.771712242425
2013-06-17,29.419,35.387166666666666,6254.750471212122,8080.545769212122
