Date,Ta (°C),Tm (°C),I (W/m2),Month,Day,Time,Season,P (kW)
2013-10-18 13:58:00,22.396666666666665,32.07149999999999,660.9207359999999,10,18,13,3,525.6975
2013-10-18 14:58:00,22.33883333333333,28.249166666666664,497.71552400000013,10,18,14,3,384.28631666666655
2013-10-18 15:58:00,21.386166666666668,23.72016666666666,288.8970013333332,10,18,15,3,193.81818333333337
2013-10-18 16:58:00,19.45083333333333,17.215,59.45106666666665,10,18,16,3,31.89908333333332
2013-10-18 17:58:00,16.950166666666664,12.102666666666666,1.1481333333333323,10,18,17,3,0.2123333333333333
2013-10-18 18:58:00,15.206666666666663,9.073333333333332,0.9333586666666656,10,18,18,3,0.0
2013-10-18 19:58:00,13.676166666666669,7.942,0.4094306666666661,10,18,19,3,0.0
2013-10-18 20:58:00,12.703166666666668,6.490166666666667,0.3865733333333329,10,18,20,3,0.0
2013-10-18 21:48:00,12.2658,6.618399999999999,0.3665599999999995,10,18,21,3,0.0
2013-10-19 04:58:00,9.968666666666666,5.221333333333334,0.7329826086956513,10,19,4,3,0.0
2013-10-19 05:58:00,9.548166666666669,4.329333333333334,0.5979773333333327,10,19,5,3,0.0
2013-10-19 06:58:00,10.509166666666667,6.191166666666667,51.22034800000001,10,19,6,3,25.107550000000003
2013-10-19 07:58:00,13.24266666666667,12.950833333333334,235.3545613333333,10,19,7,3,177.02965
2013-10-19 08:58:00,18.474166666666665,24.295,441.7898066666667,10,19,8,3,332.80563333333333
2013-10-19 09:58:00,21.072666666666667,30.911166666666663,625.0043613333335,10,19,9,3,498.04403333333335
2013-10-19 10:58:00,21.3,32.30599999999999,644.6392800000004,10,19,10,3,517.75
2013-10-19 11:58:00,21.3,32.30599999999999,644.6392800000004,10,19,11,3,517.75
2013-10-19 12:58:00,21.3,32.30599999999999,644.6392800000004,10,19,12,3,517.75
2013-10-19 13:58:00,21.3,32.30599999999999,644.6392800000004,10,19,13,3,517.75
2013-10-19 14:58:00,21.3,32.30599999999999,644.6392800000004,10,19,14,3,517.75
2013-10-19 15:58:00,21.3,32.30599999999999,644.6392800000004,10,19,15,3,517.75
2013-10-19 16:58:00,21.3,32.30599999999999,644.6392800000004,10,19,16,3,517.75
2013-10-19 17:58:00,21.3,32.30599999999999,644.6392800000004,10,19,17,3,517.75
2013-10-19 18:58:00,21.3,32.30599999999999,644.6392800000004,10,19,18,3,517.75
2013-10-19 19:58:00,21.3,32.30599999999999,644.6392800000004,10,19,19,3,517.75
2013-10-19 20:58:00,21.3,32.30599999999999,644.6392800000004,10,19,20,3,517.75
2013-10-19 21:48:00,21.3,32.306,644.6392800000004,10,19,21,3,517.75
2013-10-20 04:58:00,21.3,32.30599999999999,644.6392800000004,10,20,4,3,517.75
2013-10-20 05:58:00,21.3,32.30599999999999,644.6392800000004,10,20,5,3,517.75
2013-10-20 06:58:00,21.3,32.30599999999999,644.6392800000004,10,20,6,3,517.75
2013-10-20 07:58:00,21.3,32.30599999999999,644.6392800000004,10,20,7,3,517.75
2013-10-20 08:58:00,21.3,32.30599999999999,644.6392800000004,10,20,8,3,517.75
2013-10-20 09:58:00,22.1275,36.829,655.8804880000001,10,20,9,3,522.7769000000001
2013-10-20 10:58:00,23.5465,41.055,737.7243213333336,10,20,10,3,585.6767000000001
2013-10-20 11:58:00,24.980500000000003,43.650666666666666,766.1655666666667,10,20,11,3,606.8582000000001
2013-10-20 12:58:00,25.667500000000004,43.46933333333333,720.9178546666667,10,20,12,3,572.5948666666667
2013-10-20 13:58:00,25.802000000000003,38.494166666666665,491.25165200000026,10,20,13,3,395.5751
2013-10-20 14:58:00,25.666333333333338,35.2435,455.03427333333343,10,20,14,3,350.3764333333333
2013-10-20 15:58:00,23.88583333333333,28.166666666666668,264.73458400000004,10,20,15,3,181.7035833333334
2013-10-20 16:58:00,21.770333333333337,19.900166666666667,54.556031999999995,10,20,16,3,30.54730000000001
2013-10-20 17:58:00,19.7035,15.8345,0.770637333333332,10,20,17,3,0.3410666666666667
2013-10-20 18:58:00,18.47683333333333,14.439,0.5894453333333327,10,20,18,3,0.0
2013-10-20 19:58:00,17.665333333333333,14.130333333333333,0.36655999999999944,10,20,19,3,0.0
2013-10-20 20:58:00,17.057,13.716666666666669,0.24163466666666653,10,20,20,3,0.0
2013-10-20 21:58:00,16.601166666666668,12.768666666666666,0.4385026666666661,10,20,21,3,0.0
2013-10-21 04:58:00,15.597,12.586833333333333,0.40873913043478227,10,21,4,3,0.0
2013-10-21 05:58:00,15.243,11.8155,0.49095866666666643,10,21,5,3,0.0174166666666666
2013-10-21 06:58:00,15.574333333333334,11.806166666666668,44.27202533333333,10,21,6,3,20.80413333333333
2013-10-21 07:58:00,18.65733333333333,18.96,251.60395466666665,10,21,7,3,174.8879333333334
2013-10-21 08:58:00,21.867833333333333,28.877166666666664,382.44522266666667,10,21,8,3,290.8524833333333
2013-10-21 09:58:00,23.4585,31.134666666666664,465.58424666666673,10,21,9,3,396.53823333333344
2013-10-21 10:58:00,23.889166666666668,34.6425,440.94935866666657,10,21,10,3,345.34726666666666
2013-10-21 11:58:00,25.067666666666668,44.40166666666667,757.6300746666666,10,21,11,3,588.2441166666667
2013-10-21 12:58:00,25.360166666666668,43.18066666666667,680.0549035294118,10,21,12,3,553.6097058823533
2013-10-21 13:58:00,25.56533333333333,40.88333333333333,603.0936964102565,10,21,13,3,473.3359999999999
2013-10-21 14:58:00,25.413666666666668,36.47016666666666,448.5566746666667,10,21,14,3,344.64043333333325
2013-10-21 15:28:00,24.480666666666668,30.980666666666668,277.08809435897433,10,21,15,3,191.1874358974359
2013-10-21 16:53:00,22.12766666666667,21.0855,50.55639600000001,10,21,16,3,28.67291666666668
2013-10-21 17:53:00,19.622166666666665,16.114166666666666,0.42417733333333263,10,21,17,3,0.0973333333333333
2013-10-21 18:53:00,18.30483333333333,14.28133333333333,0.4143813333333326,10,21,18,3,0.0
2013-10-21 19:53:00,17.266666666666666,12.682500000000005,0.41964799999999963,10,21,19,3,0.0
2013-10-21 20:53:00,16.596666666666668,12.071666666666667,0.6943573333333323,10,21,20,3,0.0
2013-10-21 21:53:00,16.10333333333333,11.862333333333334,0.7331199999999999,10,21,21,3,0.0
2013-10-22 04:53:00,16.644000000000002,15.531,0.3665599999999995,10,22,4,3,0.0
2013-10-22 05:53:00,17.042,15.555333333333332,0.3971066666666661,10,22,5,3,0.0
2013-10-22 06:53:00,17.597833333333334,16.528333333333332,20.174446666666665,10,22,6,3,11.528066666666666
2013-10-22 07:53:00,18.7845,18.5285,142.24476800000002,10,22,7,3,105.68711666666664
2013-10-22 08:53:00,20.33633333333333,23.569000000000003,298.98125866666663,10,22,8,3,244.88798333333335
2013-10-22 09:53:00,22.343000000000004,29.540333333333333,283.31262666666663,10,22,9,3,235.4368833333332
2013-10-22 10:53:00,23.57783333333333,32.601499999999994,475.82726266666674,10,22,10,3,371.13891666666666
2013-10-22 11:53:00,24.20833333333333,37.271,686.5850386666668,10,22,11,3,509.2865833333332
2013-10-22 12:53:00,24.8955,40.246,688.1009893333334,10,22,12,3,534.2188000000002
2013-10-22 13:53:00,24.9545,35.696666666666665,591.7445906666668,10,22,13,3,464.1820333333335
2013-10-22 14:53:00,24.17916666666667,30.49483333333333,430.10683066666684,10,22,14,3,329.4498833333334
